Grafico3
"Tempo (sec),""Forza di reazione3 (newton)"""
1.48,2.72798991356694
1.48566767771099,2.42057241742666
1.49588349730991,2.76879786158078
1.50594472436379,2.66906074672294
1.5164174480404,3.05973465615277
1.52,2.62767764344171
1.52653959105515,2.76755962690892
1.53675188087348,2.18080486973353
1.54679037407662,2.52241801786468
1.55866303252833,3.28914878228357
1.56,2.74331919996167
1.56885439019022,2.24150389823057
1.57894855867155,2.80920222268149
1.5890476591553,2.62973606353708
1.59925131778177,2.64248560103146
1.6,2.78412863439045
1.60965174537753,2.59167924222631
1.61988238203524,2.52586956746811
1.63023986051941,2.72078985632378
1.64,2.52156602143563
1.64048985806531,2.70772620653582
1.65062030461033,2.66517350402557
1.66066569261146,3.1092693069652
1.67075502068442,2.137151406233
1.68,2.60060007471055
1.68125166123932,2.45317377777323
1.69128986263196,3.02905912823575
