"supA"
"Time (sec)","Reaction Force4 (newton)"
1.32,5.86097565463053
1.32570780837189,5.63108406291028
1.33584126560124,5.5427049737697
1.34585951352418,6.09694617096331
1.35598372768774,5.76026304304741
1.36,5.21077210378843
1.3659936145233,5.49833026197297
1.37618641434323,5.68626290465756
1.3871283862483,5.63920281104119
1.39733821565274,6.97052229807779
1.4,5.71561905725851
1.40749841567103,5.74632219526583
1.41751589645152,5.83221636793391
1.42756399116496,5.66951242905877
1.43764457562224,5.66599911581561
1.44,5.51273366147028
1.44772890375593,5.99777893450493
1.45840539014912,5.54957940138089
1.46849762284737,6.10891350188167
1.47856732461562,5.64374257216372
1.48,5.52873381495189
